# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
96 7.1625 6.64616 0.734729 3.44474 10.6248 4.70044 1.26826 1.24526 7.69414 0.62553 3.45996
97 7.2375 6.71722 0.770708 3.42453 10.859 4.90535 1.29509 1.28227 8.04193 0.631025 3.63111
98 7.3125 5.90574 0.803 3.53364 11.1056 4.67746 1.32121 1.32207 8.40799 0.63841 3.80787
99 7.3875 5.35525 0.832885 3.50788 11.3555 4.37827 1.34616 1.40102 8.80391 0.643264 3.98966
100 7.4625 4.91523 0.860875 3.44338 11.6058 4.1492 1.37029 1.43725 9.21835 0.645925 4.17591
101 7.5375 4.3535 0.886167 3.42078 11.8595 3.93449 1.39364 1.42356 9.63714 0.649561 4.367
102 7.6125 4.31033 0.911708 3.37154 12.1146 3.87198 1.41707 1.40379 10.0584 0.655397 4.56367
103 7.6875 4.04909 0.936177 3.36602 12.3743 3.52674 1.43883 1.46306 10.5061 0.660768 4.76587
104 7.7625 3.72609 0.959135 3.31361 12.6349 3.39353 1.46019 1.46056 10.9618 0.670107 4.97495
105 7.8375 3.10287 0.978625 3.21841 12.893 3.3362 1.48159 1.46654 11.4282 0.67924 5.19099
106 7.9125 2.81653 0.996656 3.12283 13.1482 3.11792 1.50197 1.37088 11.8727 0.683652 5.41262
107 7.9875 3.22374 1.01769 3.03494 13.401 3.13391 1.52285 1.3879 12.3312 0.686074 5.63927
108 8.0625 3.83791 1.0432 2.88115 13.6454 3.06129 1.54364 1.37475 12.7939 0.691842 5.87213
109 8.1375 3.89979 1.0696 2.88197 13.8946 2.8206 1.56314 1.37927 13.2668 0.69506 6.11046
110 8.2125 4.09774 1.09786 2.74947 14.1366 2.79964 1.58286 1.38888 13.7519 0.698448 6.35438
111 8.2875 3.88449 1.12515 2.73461 14.3818 2.71361 1.60232 1.44041 14.2641 0.704968 6.60509
112 8.3625 3.34898 1.14909 2.65623 14.6243 2.84131 1.62307 1.46316 14.7939 0.710247 6.86228
113 8.4375 3.33692 1.17339 2.6601 14.8715 3.0082 1.64544 1.43981 15.3247 0.713842 7.12542
114 8.5125 3.20387 1.19712 2.64097 15.1213 2.8866 1.66728 1.44806 15.868 0.716676 7.39433
115 8.5875 3.54185 1.22383 2.64395 15.3758 2.75727 1.68852 1.46951 16.4292 0.719797 7.66918
116 8.6625 3.47535 1.2505 2.60544 15.631 2.47977 1.70795 1.46605 16.9988 0.725847 7.95121
117 8.7375 3.64546 1.27896 2.57496 15.8876 2.42431 1.72728 1.43901 17.5677 0.729876 8.23974
118 8.8125 3.73714 1.30864 2.64075 16.1554 2.53093 1.7478 1.42829 18.142 0.736163 8.53577
